재활용센터명,소재지지번주소,위도,경도,주요취급품목정보,운영기관명,운영기관전화번호,운영기관대표자명,평일운영시작시각,평일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,휴무일정보,관리기관전화번호,관리기관명
김천시재활용선별장,경상북도 김천시 응명동 1012-1,36.15896481,128.1235108,기타,경상북도 김천시청,054-420-6183,김충섭,8:00,17:00,0:00,0:00,일+공휴일,054-439-6906,명진자원
상주시 재활용품선별장,경상북도 상주시 복룡동 153-17,36.42394039,128.1907151,합성수지류+유리병+고철류,경상북도 상주시청,,,9:00,16:00,9:00,16:00,일+국가공휴일,054-537-7363,경상북도 상주시청 환경관리과
성주군 재활용선별시설,경상북도 성주군 성주읍 삼산리 523-3,35.92651709,128.3106884,합성수지류+고철류,성주군 자원순환사업소,054-930-6197,배재억,9:00,16:30,9:00,16:30,일요일+공휴일,054-930-6197,성주군 자원순환사업소
안동시 재활용품선별장,경상북도 안동시 수하동 742-1,36.54865844,128.6716658,합성수지류,경상북도 안동시청,054-840-3880,권기창,9:00,18:00,0:00,0:00,토+일+공휴일,054-840-3880,경상북도 안동시청
영덕군재활용선별장,경상북도 영덕군 강구면 하저리 산103,36.41328016,129.3901166,종이류(고지류),경상북도 영덕군청,054-730-6204,,7:00,16:00,7:00,16:00,토요일+일요일,054-730-6204,경상북도 영덕군청
영양군환경자원센터,경상북도 영양군 영양읍 전곡리 306,36.63065342,129.1277045,종이류(고지류)+고철류+금속캔+유리병+기타+합성수지류,경상북도 영양군청,054-680-6532,오도창,9:00,17:00,0:00,0:00,토요일(11:00이후)+일요일+공휴일,054-680-6531,경상북도 영양군청
영천시 생활자원회수센터,경상북도 영천시 완산동 산3-1,35.96461799,128.9694261,합성수지류+고철류+유리병+종이류(고지류),경상북도 영천시청,054-330-6174,최기문,9:00,18:00,0:00,0:00,토요일+일요일+공휴일,054-330-6174,경상북도 영천시청
예천군생활자원회수센터,경상북도 예천군 예천읍 청복리 650,36.63781764,128.4616533,합성수지류,경상북도 예천군,054-650-6175,김학동,9:00,18:00,0:00,0:00,토+일,054-650-6175,경상북도 예천군청
청도환경관리센터,경상북도 청도군 매전면 송원리 산194-1,35.63481547,128.7778428,종이류(고지류)+금속캔+합성수지류+유리병+고철류,경상북도 청도군청,054-370-6192,김하수,9:00,18:00,10:00,18:00,격주 토+격주 일,054-370-6192,경상북도 청도군청
칠고국 환경종합센터,경상북도 칠곡군 왜관읍 금산리 846-1,35.95678064,128.3993445,종이류(고지류)+합성수지류+유리병,칠곡군청,054-979-6745,백선기,9:00,18:00,0:00,0:00,,054-979-6745,칠곡군청
포항시재활용선별장,경상북도 포항시 남구 호동 65,35.986793,129.389004,종이류(고지류)+합성수지류+금속캔+유리병,㈜제철동주민협의체,054-277-0555,대표이사,8:00,17:00,8:00,17:00,일요일 휴무,054-270-3191,경상북도 포항시청 자원순환과
광주광역시 남구 재활용선별장,광주광역시 남구 송하동 566-1,35.105324,126.878223,합성수지류,광주광역시 남구청,062-607-4918,김병내,9:00,18:00,0:00,0:00,공휴일미운영,062-607-3631,광주광역시 남구청
광주광역시 동구 재활용선별장,광주광역시 동구 소태동 189-1,35.1150617,126.936132,합성수지류+금속캔,광주광역시 동구청,062-608-8936,임택,9:00,18:00,0:00,0:00,공휴일,062-608-8936,광주광역시 동구청
재활용선별장,광주광역시 서구 세하동 765,35.12150861,126.8264274,기타,광주광역시 서구 시설관리공단,062-601-6024,임낙평,8:30,17:30,0:00,0:00,일+공휴일+설 연휴+추석 연휴,062-360-7667,광주광역시 서구청
동구자원재활용센터,대구광역시 동구 불로동 866-9,35.903514,128.6309954,합성수지류+금속캔+유리병,㈜유창알앤씨,053-985-3840,성기원,8:00,17:00,8:00,12:00,일요일,053-662-2723,대구광역시 동구청
유창알앤씨,대구광역시 서구 중리동 1075-1,35.8663645,128.5417192,기타,서구청(민간위탁),053-663-2723,성기원,6:00,15:00,6:00,15:00,일요일,053-663-2722,대구광역시 서구청
수성구 생활자원회수센터,대구광역시 수성구 범물동 105-7,35.82020842,128.6491827,합성수지류+유리병+종이류(고지류)+고철류,(주)유창알앤씨,053-782-5900,성기원,8:00,17:00,8:00,17:00,일+설 연휴+추석 연휴+근로자의날,053-666-2723,대구광역시 수성구청
중구새마을부녀회알뜰매장,대전광역시 중구 문창동 46-1,36.32142495,127.4340625,의류,새마을운동 대전광역시중구지회,042-252-4957,,13:00,17:00,0:00,0:00,토+일+공휴일,042-252-4957,새마을운동 대전광역시중구지회
부산광역시 자원재활용센터,부산광역시 강서구 생곡동 421,35.13302253,128.8786624,합성수지류,부산광역시 자원재활용센터,051-971-2010,김종원,0:00,23:59,0:00,0:00,토+일+공휴일,051-970-2342,부산광역시 강서구청
기장군재활용선별장,부산광역시 기장군 기장읍 내리 167-3,35.20665312,129.2023933,소형 가전제품+기타,기장군도시관리공단,051-792-4725,박승하,8:00,17:00,0:00,0:00,공휴일,051-709-4454,부산광역시 기장군청
남부재활용센터,부산광역시 남구 감만동 162-22,35.1161314,129.082796,소형 가전제품,민간운영,051-644-8572,,8:00,18:00,8:00,18:00,일요일,051-607-4454,부산광역시 남구청
남구재활용센터,부산광역시 남구 대연동 967-1,35.1281562,129.0913237,소형 가전제품+기타,민간운영,051-611-0808,,9:30,19:00,9:30,19:00,일요일,051-607-4454,부산광역시 남구청
동아재활용센터,부산광역시 남구 용호동 413-13,35.12021396,129.1097956,소형 가전제품,민간운영,051-626-1713,,9:00,20:00,9:00,20:00,일요일,051-607-4454,부산광역시 남구청
용성가전에어컨,부산광역시 남구 용호동366-8,35.12249262,129.112594,소형 가전제품,민간운영,051-628-7704,,8:00,18:00,8:00,18:00,일요일,051-607-4454,부산광역시 남구청
동구재활용센터,부산광역시 동구 범일동 1642,35.12989024,129.0612769,합성수지류+기타+소형 가전제품,부산광역시 동구청,051-440-4451,김진홍,6:00,16:00,0:00,0:00,일+공휴일,000-000-0000,부산광역시 동구청
동래구 재활용센터,부산광역시 동래구 수안동 2-7,35.201229,129.0819157,소형 가전제품+기타,부산광역시 동래구 재활용센터,051-554-5088,차복수,9:00,19:00,9:00,17:00,일요일,051-550-4452,부산광역시 동래구 청소과
부산진구 재활용센터,부산광역시 부산진구 부전동 384-65,35.15563315,129.0507411,기타,부산광역시 부산진구청,051-805-8272,,9:00,18:00,0:00,0:00,일+공휴일,051-605-4451,부산광역시 부산진구청
구포재활용마트,부산광역시 북구 구포동 1009-38,35.20444063,129.0004927,소형 가전제품+기타,구포재활용마트,051-342-2266,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
구포재활용센타,부산광역시 북구 구포동 1041-4,35.20217752,128.9969637,소형 가전제품+기타,구포재활용센타,051-342-2420,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
북구재활용센터,부산광역시 북구 구포동 431-2,35.20712085,129.0008791,소형 가전제품+기타,북구오케이재활용마트,051-337-1555,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
종합재활용센터,부산광역시 북구 구포동 995-1,35.20221416,128.9979855,소형 가전제품+기타,종합재활용센터,051-334-0712,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
금곡종합재활용센터,부산광역시 북구 금곡동 681-5,35.26020378,129.0133571,소형 가전제품+기타,금곡종합재활용센터,051-362-7289,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
북구재활용백화점,부산광역시 북구 덕천동 317-1,35.21449261,129.0097456,소형 가전제품+기타,북구재활용백화점,051-338-8796,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
만덕재활용센터,부산광역시 북구 덕천동 773-14,35.21139928,129.0217337,기타,만덕재활용센터,051-336-8882,,9:00,18:00,0:00,0:00,일+설 연휴+추석연휴+공휴일,051-309-4452,부산광역시 북구청
사상구재활용센터,부산광역시 사상구 모라동 1365-3,35.18310703,128.989651,소형 가전제품+기타,오병선,051-315-9721,오병선,9:00,18:00,0:00,0:00,일+설 연휴+추석 연휴+공휴일,051-310-4455,부산광역시 사상구청
사하구재활용선별장,부산광역시 사하구 하단동 845-52,35.12021823,128.9629623,기타,부산광역시 사하구청 자원순환과,051-220-4452,이갑준,7:00,16:00,0:00,0:00,일+공휴일,051-220-4438,부산광역시 사하구청
서구재활용센터,부산광역시 서구 암남동 95-30,35.0810401,129.024756,소형 가전제품+기타,서구재활용센터,051-247-8777,배창호,9:00,18:00,9:00,18:00,,051-240-4454,부산광역시 서구청
스마일재활용센터,부산광역시 서구 초장동 54-8,35.098152,129.020272,소형 가전제품,스마일재활용센터,051-248-4488,김만조,9:00,18:00,9:00,18:00,,051-240-4454,부산광역시 서구청
신수영재활용마트,부산광역시 수영구 광안동 1058-41,35.16864148,129.1116115,소형 가전제품+기타,신수영재활용마트,051-753-8270,,9:00,18:00,0:00,0:00,"매주일요일, 공휴일",051-610-4451,부산광역시 수영구
용우재활용센터,부산광역시 수영구 광안동 139-1,35.15902805,129.1149138,소형 가전제품,용우재활용센터,051-752-2781,,9:00,20:00,0:00,0:00,"매주일요일, 공휴일",051-610-4451,부산광역시 수영구
부전식당용 중고마트,부산광역시 수영구 망미동 823-20,35.1728305,129.1003937,기타,부전식당용 중고마트,051-755-3250,,9:00,18:00,0:00,0:00,"매주일요일, 공휴일",051-610-4451,부산광역시 수영구
수영종합재활용센터,부산광역시 수영구 수영동 462-21,35.17085857,129.110318,소형 가전제품,수영종합재활용센터,051-753-4979,,9:00,19:00,0:00,0:00,"매주일요일, 공휴일",051-610-4451,부산광역시 수영구
수영구재활용센터,부산광역시 수영구 수영동 541,35.1684064,129.1207317,소형 가전제품,수영구재활용센터,051-756-0599,,9:00,18:00,0:00,0:00,"매주일요일, 공휴일",051-610-4451,부산광역시 수영구
연제구 환경자원관리소,부산광역시 연제구 연산동 243-19,35.183252,129.106349,종이류(고지류)+고철류+금속캔+합성수지류,부산광역시 연제구청,051-665-4455,주석수,9:00,18:00,0:00,0:00,토+일+공휴일,051-665-4455,부산광역시 연제구청
영도구 재활용선별장,부산광역시 영도구 동삼동 201-14,35.08794406,129.0719674,기타,영도구 재활용선별장,051-419-4461,김기재,9:00,18:00,0:00,0:00,토요일+일요일+공휴일,051-419-4461,부산광역시 영도구청
해운대구자원재활용센터,부산광역시 해운대구 반여동 1502-77,35.21765981,129.1375089,합성수지류,부산광역시 해운대구청,051-749-5725,김성수,9:00,18:00,0:00,0:00,토+일+공휴일,051-749-4452,부산광역시 해운대구청 자원순환과
강남구재활용센터,서울특별시 강남구 개포동 1259-6,37.479138,127.0494793,소형 가전제품+기타,강남구재활용센터,,,9:00,19:00,9:00,19:00,,02-3423-6008,서울특별시 강남구청
리싸이클세상,서울특별시 강남구 논현동 191-6,37.50883463,127.0325018,소형 가전제품+기타,(주)리싸이클세상,,,9:00,19:00,9:00,19:00,,02-3423-6008,서울특별시 강남구청
강동구가전가구재활용센터,서울특별시 강동구 고덕동 302,37.55699643,127.1569746,소형 가전제품+기타,㈜리싸이클시티,02-427-8425,문대왕,10:00,19:00,10:00,19:00,설 당일+추석 당일,02-3425-5880,서울특별시 강동구청 청소행정과
강북구재활용센터,서울특별시 강북구 수유동 188-26,37.64183139,127.022653,소형 가전제품+기타,강북구재활용센터,02-992-8425,김승일,9:30,19:30,9:30,19:30,연중무휴,02-901-6764,서울특별시 강북구청
강서구재활용센터,서울특별시 강서구 방화동 257-19,37.57083785,126.816916,소형 가전제품+기타,강서구재활용센터,02-2666-7262,장세창,9:00,19:00,9:00,19:00,문의,02-2600-4242,서울특별시 강서구청
강서재활용센터,서울특별시 강서구 화곡동 111-81,37.545155,126.844155,소형 가전제품+기타,강서재활용센터,02-2602-0505,조진환,9:00,19:00,9:00,17:00,문의,02-2600-4242,서울특별시 강서구청
강서구중고재활용센터,서울특별시 강서구 화곡동 970-19,37.5472447,126.848927,소형 가전제품+기타,강서구중고재활용센터,02-3662-8545,원정구,9:00,19:00,9:00,17:00,문의,02-2600-4242,서울특별시 강서구청
관악구 재활용센터(알뜰나라),서울특별시 관악구 신림동 96-48,37.47542075,126.9372603,소형 가전제품+기타,알뜰나라,02-877-1140,김태훈,10:00,21:00,10:00,18:00,명절연휴+일요일,02-877-1140,서울특별시 관악구청
광진구 재활용센터,서울특별시 광진구 중곡동 47-24,37.56081954,127.0817523,소형 가전제품+기타,디에이8949,02-457-0303,이길홍,9:00,20:00,0:00,0:00,일요일,02-450-7609,서울특별시 광진구청
구로구 재활용센터,서울특별시 구로구 구로동 557-11,37.503211,126.886038,소형 가전제품+기타,구로재활용센터,02-858-8272,김영순,9:30,18:30,11:00,18:30,일,02-860-2620,서울특별시 구로구청
금천구 지정 독산동 재활용센터,서울특별시 금천구 독산동 990-2,37.4737391,126.9030804,소형 가전제품+기타+의류+종이류(고지류),금천구 재활용 센터,02-863-7282,유명종,9:00,19:00,9:00,17:00,,02-2627-1484,서울특별시 금천구청
금천구재활용센터,서울특별시 금천구 시흥동 903-5,37.45017338,126.9027728,소형 가전제품+기타+의류+종이류(고지류),㈜시흥가구백화점,02-802-7282,권지섭,9:00,21:00,9:00,21:00,,02-2627-1484,서울특별시 금천구청
상계재활용센터,서울특별시 노원구 상계동 1035-3,37.67156998,127.0548404,소형 가전제품+기타,노원리싸이클링,02-948-8138,최남현,9:30,18:00,10:00,17:00,,02-2116-3810,서울특별시 노원구  자원순환과
도봉구재활용센터,서울특별시 도봉구 창동 181-39,37.65992,127.04539,소형 가전제품+기타,도봉구재활용센터,02-902-8272,최재호,9:00,19:30,10:00,18:30,"일요일 휴무, 자세한 내용은 센터에 문의",02-901-5057,서울특별시 도봉구시설관리공단
서대문구재활용센터,서울특별시 서대문구 홍은동 425,37.58323052,126.9363911,소형 가전제품+기타,(주)서대문구 재활용센터,02-394-8272,조봉현,9:00,18:00,0:00,0:00,공휴일,02-330-1713,서울특별시 서대문구청 청소행정과
서초구재활용센터,서울특별시 서초구 원지동 23,37.45933133,127.0401205,소형 가전제품+기타,(사)한국생활자원재활용협회,02-571-7272,유익조,10:00,17:00,0:00,0:00,일+공휴일,02-2155-6743,서울특별시 서초구청
성동구 재활용센터,서울특별시 성동구 송정동 78-1,37.55691625,127.054969,소형 가전제품+기타,성동구 도시관리공단,02-2204-7997,장기천,9:00,18:00,0:00,0:00,토+일+공휴일,02-2286-5545,서울특별시 성동구청
송파구재활용센터,서울특별시 송파구 마천동 27,37.4999099,127.1420313,소형 가전제품+기타,새마을운동송파구지회,02-400-9333,이승현,9:00,18:00,9:00,15:00,"매주일요일, 공휴일",02-2147-6373,서울특별시 송파구청
영등포구 재활용센터,서울특별시 영등포구 신길동 3937-10,37.498725,126.913851,소형 가전제품+기타,(사)한국자원재생재활용연합회,02-836-7289,이재구,9:00,19:00,9:00,18:00,설 연휴+추석 연휴,02-2670-3486,서울특별시 영등포구청 청소과
용산구 재활용센터,서울특별시 용산구 한강로1가 73-1,37.53764656,126.971403,소형 가전제품+기타,용산구 재활용센터,02-794-8666,제갈재호,9:00,19:00,10:00,18:00,법정공휴일 휴무,02-2199-7317,서울특별시 용산구청
은평구 재활용센터,서울특별시 은평구 수색동 293-13,37.59131729,126.8845899,소형 가전제품+기타,사단법인 한국생활자원 재활용 협회 은평구지회,02-372-8272,김명종,9:00,18:00,0:00,0:00,"명절전일 및 당일 휴무,일요일",02-372-8272,서울특별시 은평구청
중구재활용센터,서울특별시 중구 신당동 330-17,37.55897769,127.0134049,소형 가전제품+기타,서울특별시 중구청,02-2233-7289,이재구,9:00,19:00,9:00,18:00,일요일,02-3396-5465,서울특별시 중구청
중랑구재활용센터,서울특별시 중랑구 면목본동 504-5,37.5856701,127.0881513,소형 가전제품+기타,중랑구 재활용센터㈜,02-435-7272,이진기,9:00,19:00,9:00,19:00,일,02-2094-1947,서울특별시 중랑구청
재활용센터1관,서을특별시 노원구 공릉동 656-5,37.6191271,127.0789944,소형 가전제품+기타,노원리싸이클링,02-974-7282,최남현,9:30,18:00,10:00,17:00,,02-2116-3810,서울특별시 노원구  자원순환과
보람재활용센타,울산광역시 남구 달동 616-11,35.5399033,129.3206335,소형 가전제품+기타,보람재활용센타,052-292-4982,김평석,9:00,19:00,9:00,19:00,일,052-226-4822,울산광역시 남구청
